"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetDuplicates.jsx", "JavaScript JSX", 0, -153, -6, -18, -177
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetGroup.jsx", "JavaScript JSX", 0, -154, -1, -15, -170
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetInformation.jsx", "JavaScript JSX", 0, -116, -11, -17, -144
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Dataset/DatasetStatistics.jsx", "JavaScript JSX", 0, -77, -1, -12, -90
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/BarPlot.jsx", "JavaScript JSX", 0, -161, -1, -13, -175
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/BoxPlot.jsx", "JavaScript JSX", 0, -162, -1, -13, -176
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/CountPlot.jsx", "JavaScript JSX", 0, -145, -1, -12, -158
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/CustomPlot.jsx", "JavaScript JSX", 0, -103, -1, -13, -117
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/Histogram.jsx", "JavaScript JSX", 0, -244, -1, -12, -257
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/LinePlot.jsx", "JavaScript JSX", 0, -136, -1, -11, -148
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/PiePlot.jsx", "JavaScript JSX", 0, -149, -1, -13, -163
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/RegPlot.jsx", "JavaScript JSX", 0, -119, 0, -12, -131
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/ScatterPlot.jsx", "JavaScript JSX", 0, -121, 0, -11, -132
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/EDA/ViolinPlot.jsx", "JavaScript JSX", 0, -167, 0, -11, -178
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/AddModify.jsx", "JavaScript JSX", 0, -243, -1, -15, -259
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_ExtractText.jsx", "JavaScript JSX", 0, -41, 0, -5, -46
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_GroupCategorical.jsx", "JavaScript JSX", 0, -156, -2, -10, -168
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_GroupNumerical.jsx", "JavaScript JSX", 0, -177, 0, -6, -183
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_MathOperation.jsx", "JavaScript JSX", 0, -25, 0, -4, -29
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_NewColumn.jsx", "JavaScript JSX", 0, -63, 0, -5, -68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Modify_ProgressApply.jsx", "JavaScript JSX", 0, -28, 0, -5, -33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Modify_ReplaceValue.jsx", "JavaScript JSX", 0, -183, 0, -8, -191
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AlterFieldName/AlterFieldName.jsx", "JavaScript JSX", 0, -179, -1, -16, -196
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AppendDataset/AppendDataset.jsx", "JavaScript JSX", 0, -118, 0, -11, -129
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/ChangeDType/ChangeDType.jsx", "JavaScript JSX", 0, -183, -1, -15, -199
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Cluster/Cluster.jsx", "JavaScript JSX", 0, -212, 0, -8, -220
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/DropColumn/DropColumn.jsx", "JavaScript JSX", 0, -161, -1, -13, -175
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/DropRow/DropRow.jsx", "JavaScript JSX", 0, -140, -1, -12, -153
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Encoding/Encoding.jsx", "JavaScript JSX", 0, -176, -1, -16, -193
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/FeatureSelection.jsx", "JavaScript JSX", 0, -63, 0, -5, -68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/BestOverallFeature.jsx", "JavaScript JSX", 0, -38, 0, -4, -42
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/MutualInformation.jsx", "JavaScript JSX", 0, -7, 0, -2, -9
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/ProgressiveFeature.jsx", "JavaScript JSX", 0, -68, 0, -4, -72
