"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/KNearestNeighbour.jsx", "JavaScript JSX", 0, 214, 0, 0, 0, 8, 222
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/LogisticRegression.jsx", "JavaScript JSX", 0, 259, 0, 0, 0, 8, 267
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/MultilayerPerceptron.jsx", "JavaScript JSX", 0, 270, 0, 0, 0, 9, 279
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/RandomForestClassification.jsx", "JavaScript JSX", 0, 276, 0, 0, 0, 10, 286
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/SupportVectorMachine.jsx", "JavaScript JSX", 0, 252, 0, 0, 0, 8, 260
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/DecisionTreeRegression.jsx", "JavaScript JSX", 0, 248, 0, 0, 0, 8, 256
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LassoRegression.jsx", "JavaScript JSX", 0, 247, 0, 0, 0, 8, 255
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LinearRegression.jsx", "JavaScript JSX", 0, 178, 0, 0, 0, 7, 185
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RandomForestRegression.jsx", "JavaScript JSX", 0, 326, 0, 0, 0, 10, 336
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RidgeRegression.jsx", "JavaScript JSX", 0, 233, 0, 0, 0, 8, 241
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/SupportVectorRegressor.jsx", "JavaScript JSX", 0, 172, 0, 0, 0, 10, 182
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelEvaluation/ModelEvaluation.jsx", "JavaScript JSX", 0, 252, 0, 0, 3, 12, 267
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ModelPrediction.jsx", "JavaScript JSX", 0, 218, 0, 0, 4, 18, 240
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ShowDataClassifier.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 7, 73
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ShowDataRegressor.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 6, 69
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/Models/Models.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 8, 111
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/SplitDataset/SplitDataset.jsx", "JavaScript JSX", 0, 275, 0, 0, 0, 20, 295
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/ModelDeployment/ModelDeployment.jsx", "JavaScript JSX", 0, 102, 0, 0, 0, 8, 110
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/ReverseML/ReverseML.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 8, 118
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/TimeSeriesAnalysis/TimeSeriesAnalysis.jsx", "JavaScript JSX", 0, 226, 0, 0, 1, 12, 239
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Layout.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 3, 15
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/ChartNode/ChartNode.jsx", "JavaScript JSX", 0, 67, 0, 0, 1, 5, 73
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/EDANode/EDANode.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 6, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/TableNode/TableNode.jsx", "JavaScript JSX", 0, 83, 0, 0, 1, 7, 91
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/UploadFile/UploadFile.jsx", "JavaScript JSX", 0, 91, 0, 0, 0, 13, 104
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/UpdateEDANode.jsx", "JavaScript JSX", 0, 142, 0, 0, 0, 8, 150
